candidate_id,family,feature_set,fold,train_end,validation_end,train_rows,validation_rows,validation_positives,fit_seconds,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
rf_balanced_leaf2_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,4.948747899994487,0.4199999999999998,0.990186125211506,0.7254901960784313,0.7115384615384616,0.7184466019417476,0.9841178886562972,0.797823824832158,0.00729957066813033
rf_balanced_leaf2_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,6.030349599997862,0.5199999999999998,0.985310119695321,0.6699029126213593,0.7752808988764045,0.71875,0.9934939842063882,0.7817460855066957,0.010476673972116707
rf_balanced_leaf2_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,4.0110876000107965,0.5999999999999998,0.9921875,0.6875,0.7857142857142857,0.7333333333333333,0.9958274398868459,0.672740680882026,0.0074341085700406805
rf_balanced_leaf2_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,4.9397031999978935,0.5899999999999997,0.9908629441624366,0.7777777777777778,0.6730769230769231,0.7216494845360825,0.9836608018230478,0.7811425150086598,0.007876667455611433
rf_balanced_leaf2_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,5.939787499999511,0.6399999999999997,0.983949945593036,0.6363636363636364,0.7865168539325843,0.7035175879396985,0.9928267808534564,0.7502746469617382,0.012843643874336284
rf_balanced_leaf4_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,3.9650731000001542,0.7099999999999996,0.9931640625,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.9962674838912463,0.718322981900673,0.008311068553929697
rf_balanced_leaf4_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,4.9641963000030955,0.5299999999999998,0.9895093062605753,0.6909090909090909,0.7307692307692307,0.7102803738317757,0.9834951906515805,0.801399060691316,0.00820921771517744
rf_balanced_leaf4_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,6.09556459999294,0.6299999999999997,0.984221980413493,0.6422018348623854,0.7865168539325843,0.7070707070707071,0.9929802689487319,0.7685619507623114,0.01323141015287509
rf_balanced_leaf4_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,4.841686100000516,0.7499999999999997,0.9928385416666666,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.996063177746346,0.7169170790885772,0.008797748693405938
rf_balanced_leaf4_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,5.461288899998181,0.48999999999999977,0.9884940778341793,0.640625,0.7884615384615384,0.7068965517241379,0.9832865205755319,0.7945704198845214,0.008590545488802696
rf_balanced_leaf4_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,6.232811299996683,0.7499999999999997,0.985038084874864,0.67,0.7528089887640449,0.708994708994709,0.9928236484433488,0.7542265061748897,0.014368614393640282
rf_balanced_subsample_leaf1_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,5.449252799997339,0.22999999999999995,0.9934895833333334,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.9966760961810467,0.7401303785757517,0.0060396458333333335
rf_balanced_subsample_leaf1_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,6.496409200000926,0.15999999999999998,0.990186125211506,0.7254901960784313,0.7115384615384616,0.7184466019417476,0.9845054187975304,0.7759643244718469,0.008990165820642977
rf_balanced_subsample_leaf1_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,8.043611399989459,0.2599999999999999,0.9863982589771491,0.7191011235955056,0.7191011235955056,0.7191011235955056,0.9934000119031584,0.7813391657582303,0.011005726877040262
rf_balanced_subsample_leaf1_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,5.086588300007861,0.5399999999999998,0.9912109375,0.6744186046511628,0.6904761904761905,0.6823529411764706,0.9948687725915448,0.6607460279445961,0.007059187521752587
rf_balanced_subsample_leaf1_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,6.484899799994309,0.29999999999999993,0.988155668358714,0.6268656716417911,0.8076923076923077,0.7058823529411765,0.9830016693606084,0.7494620568291397,0.00788091115082428
rf_balanced_subsample_leaf1_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,8.185888099993463,0.5699999999999997,0.983949945593036,0.6442307692307693,0.7528089887640449,0.694300518134715,0.992488480561829,0.7361661584769051,0.011746412830252347
rf_balanced_subsample_leaf2_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,5.559021399996709,0.3199999999999999,0.9938151041666666,0.7446808510638298,0.8333333333333334,0.7865168539325843,0.9966996699669967,0.7192768534275678,0.005534367650431125
rf_balanced_subsample_leaf2_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,6.465503800005536,0.23999999999999994,0.9908629441624366,0.7551020408163265,0.7115384615384616,0.7326732673267327,0.9845054187975305,0.794480486895498,0.0077790511441134585
rf_balanced_subsample_leaf2_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,7.921982900006697,0.30999999999999994,0.985038084874864,0.6634615384615384,0.7752808988764045,0.7150259067357513,0.9934626601053116,0.7835086881046195,0.01008551375273922
rf_balanced_subsample_leaf2_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,5.95275589999801,0.4099999999999998,0.9905598958333334,0.6140350877192983,0.8333333333333334,0.7070707070707071,0.9956859971711457,0.6919495346220862,0.0065532877981007405
rf_balanced_subsample_leaf2_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,7.685417300002882,0.45999999999999985,0.9905245346869712,0.75,0.6923076923076923,0.72,0.9838628474522377,0.7677308472624019,0.007518716484836068
rf_balanced_subsample_leaf2_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,9.319868300008238,0.5299999999999998,0.9836779107725789,0.6355140186915887,0.7640449438202247,0.6938775510204082,0.9925511287639822,0.7442321434529005,0.01147322609086418
rf_balanced_subsample_leaf4_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,6.454793000011705,0.45999999999999985,0.9928385416666666,0.6923076923076923,0.8571428571428571,0.7659574468085106,0.9966996699669968,0.741143444877207,0.005838091188100907
rf_balanced_subsample_leaf4_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,7.507084299999406,0.33999999999999986,0.9905245346869712,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.9838462863350912,0.7895906811295448,0.0072453267872028
rf_balanced_subsample_leaf4_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,9.350646799997776,0.45999999999999985,0.985038084874864,0.660377358490566,0.7865168539325843,0.717948717948718,0.9934908517962806,0.7871818022941945,0.010133806227159042
rf_balanced_subsample_leaf4_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,5.882311499997741,0.6099999999999998,0.9931640625,0.7560975609756098,0.7380952380952381,0.7469879518072289,0.9962439101052962,0.7416948040907572,0.0066484666202318845
rf_balanced_subsample_leaf4_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,7.397666099990602,0.45999999999999985,0.9908629441624366,0.7659574468085106,0.6923076923076923,0.7272727272727273,0.9836541773761891,0.785422421810618,0.007315510032431713
rf_balanced_subsample_leaf4_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,10.69680670001253,0.46999999999999986,0.9834058759521219,0.6147540983606558,0.8426966292134831,0.7109004739336493,0.9931306246338996,0.7654874333862565,0.011156482205702293
rf_positive_2_leaf1_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,9.061782699995092,0.44999999999999984,0.9951171875,0.813953488372093,0.8333333333333334,0.8235294117647058,0.9966564513594216,0.7500866967501373,0.005322716145833333
rf_positive_2_leaf1_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,11.159358200005954,0.3799999999999999,0.990186125211506,0.7674418604651163,0.6346153846153846,0.6947368421052632,0.9828194970719946,0.7606986591416164,0.007976462944162436
rf_positive_2_leaf1_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,14.143570000000182,0.3799999999999999,0.9866702937976061,0.75,0.6741573033707865,0.7100591715976331,0.9922159608824626,0.7803375246318826,0.010236681175190424
rf_positive_2_leaf1_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,8.317309899997781,0.43999999999999984,0.9951171875,0.813953488372093,0.8333333333333334,0.8235294117647058,0.9966525223950967,0.7631760259264188,0.0053402235408416335
rf_positive_2_leaf1_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,10.672865800006548,0.4099999999999998,0.9908629441624366,0.8205128205128205,0.6153846153846154,0.7032967032967034,0.9821471157158377,0.7588926003028188,0.007992516503007679
rf_positive_2_leaf1_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,13.445778700013761,0.2799999999999999,0.9836779107725789,0.6306306306306306,0.7865168539325843,0.7,0.9920499431467565,0.781419916973698,0.010228610523717093
rf_positive_2_leaf2_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,7.0384860999911325,0.4299999999999998,0.9947916666666666,0.7954545454545454,0.8333333333333334,0.813953488372093,0.9966446644664467,0.7689175641579314,0.00534595319092538
rf_positive_2_leaf2_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,8.56905839999672,0.44999999999999984,0.9905245346869712,0.8333333333333334,0.5769230769230769,0.6818181818181818,0.9901693208617081,0.7556653695728147,0.008036738175602548
rf_positive_2_leaf2_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,10.744587799999863,0.2599999999999999,0.983949945593036,0.6293103448275862,0.8202247191011236,0.7121951219512195,0.9922598146239698,0.7796845733566806,0.010245987774945736
rf_positive_2_leaf2_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,6.849097400001483,0.43999999999999984,0.9944661458333334,0.7906976744186046,0.8095238095238095,0.8,0.9966289486091466,0.7648597741669634,0.0053583426254743575
rf_positive_2_leaf2_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,8.69033959999797,0.44999999999999984,0.9908629441624366,0.8571428571428571,0.5769230769230769,0.6896551724137931,0.9898347862953443,0.7510863755412214,0.008050015526105467
rf_positive_2_leaf2_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,13.465657499997178,0.3999999999999998,0.9869423286180631,0.7662337662337663,0.6629213483146067,0.7108433734939759,0.9923349924665537,0.7794589863169222,0.010253696745215316
